sure,gamble,gambleProb,WinLoss,gambleWinLoss,sureWinLoss,WinLossCode,Evgamble,riskyAdDis,,,,,,,
2.5,6.75,50,WIN,50%  WIN,100%  WIN,1,3.375,ad,,,,,,,
4.25,10.75,35,WIN,35%  WIN,100%  WIN,1,3.7625,dis,,,,,,,
8,12.25,65,WIN,65%  WIN,100%  WIN,1,~7.96,EQUAL,,,,,,,
1.25,4.75,35,WIN,35%  WIN,100%  WIN,1,1.663,ad,,,,,,,
3.75,5.25,65,WIN,65%  WIN,100%  WIN,1,3.143,dis,,,,,,,
4.25,5.5,50,LOSE,50%  LOSE,100%  LOSE,0,-2.25,dis,,,,,,,
3.75,5.75,65,LOSE,65%  LOSE,100%  LOSE,0,~3.73,EQUAL,,,,,,,
2.25,6.5,35,LOSE,35%  LOSE,100%  LOSE,0,~2.27,EQUAL,,,,,,,
3.75,5.5,65,LOSE,65%  LOSE,100%  LOSE,0,-3.575,ad,,,,,,,
4.25,7,50,LOSE,50%  LOSE,100%  LOSE,0,-3.5,ad,,,,,,,
1.5,3.5,50,LOSE,50%  LOSE,100%  LOSE,0,-1.75,dis,,,,,,,
5.5,8.75,65,WIN,65%  WIN,100%  WIN,1,5.6875,ad,,,,,,,
1.75,4,50,LOSE,35%  LOSE,100%  LOSE,0,-2,dis,,,,,,,
3,8.5,35,WIN,35%  WIN,100%  WIN,1,~3,EQUAL,,,,,,,
3.25,6.5,50,WIN,50%  WIN,100%  WIN,1,3.5,EQUAL,,,,,,,
1.5,3,50,LOSE,50%  LOSE,100%  LOSE,0,-1.925,EQUAL,,,,,,,
2.95,6.75,35,LOSE,35%  LOSE,100%  LOSE,0,-2.3625,ad,,,,,,,
2.75,5,65,LOSE,65%  LOSE,100%  LOSE,0,-3.25,dis,,,,,,,
3.75,5.75,65,WIN,65%  WIN,100%  WIN,1,~3.73,EQUAL,,,,,,,
1.25,4.5,35,LOSE,35%  LOSE,100%  LOSE,0,-1.575,dis,,,,,,,
2.5,6.75,35,WIN,35%  WIN,100%  WIN,1,2.3625,dis,,,,,,,
3,6,50,WIN,50%  WIN,100%  WIN,1,1.925,EQUAL,,,,,,,
3.15,6.75,50,WIN,35%  WIN,100%  WIN,1,3.375,AD,,,,,,,
2.5,7.25,35,WIN,35%  WIN,100%  WIN,1,2.275,ad,,,,,,,
3.75,5.25,65,WIN,65%  WIN,100%  WIN,1,3.143,dis,,,,,,,
3.75,5.5,65,LOSE,65%  LOSE,100%  LOSE,0,-3.575,ad,,,,,,,
4.75,7.5,65,LOSE,65%  LOSE,100%  LOSE,0,-4.875,dis,,,,,,,
3,9,35,LOSE,35%  LOSE,100%  LOSE,0,3.15,DIS,,,,,,,
3.5,10,35,LOSE,35%  LOSE,100%  LOSE,0,3.5,EQUAL,,,,,,,
1.5,4,50,LOSE,50%  LOSE,100%  LOSE,0,-2,dis,,,,,,,
2.25,6.5,35,WIN,35%  WIN,100%  WIN,1,~2.27,equal,,,,,,,
4.25,7,50,LOSE,50%  LOSE,100%  LOSE,0,-3.5,ad,,,,,,,
4.25,7,50,WIN,50%  WIN,100%  WIN,1,3.5,dis,,,,,,,
3.25,6.5,50,LOSE,50%  LOSE,100%  LOSE,0,3.25,EQUAL,,,,,,,
3.95,6,65,LOSE,65%  LOSE,100%  LOSE,0,-3.9,ad,,,,,,,
3.75,10.75,35,LOSE,35%  LOSE,100%  LOSE,0,-3.413,DIS,,,,,,,
1.75,3.5,50,WIN,50%  WIN,100%  WIN,1,1.925,EQUAL,,,,,,,
2.75,8.75,35,WIN,35%  WIN,100%  WIN,1,3,AD,,,,,,,
5.25,8,65,WIN,65%  WIN,100%  WIN,1,5.2,EQUAL,,,,,,,
3.25,5,65,LOSE,65%  LOSE,100%  LOSE,0,3.25,EQUAL,,,,,,,
3.5,6,65,LOSE,65%  LOSE,100%  LOSE,0,-3.9,ad,,,,,,,
4.25,9,50,WIN,50%  WIN,100%  WIN,1,3.5,ad,,,,,,,
1.75,5,35,WIN,35%  WIN,100%  WIN,1,1.75,EQUAL,,,,,,,
4.75,7.5,65,WIN,65%  WIN,100%  WIN,1,4.875,ad,,,,,,,
2.25,4.5,50,LOSE,50%  LOSE,100%  LOSE,0,-2.25,equal,,,,,,,
3.25,9.5,35,LOSE,35%  LOSE,100%  LOSE,0,3.325,DIS,,,,,,,
2.75,5,35,LOSE,35%  LOSE,100%  LOSE,0,-1.75,ad,,,,,,,
5,6.95,65,WIN,65%  WIN,100%  WIN,1,4.518,dis,,,,,,,
4.75,7.25,50,WIN,50%  WIN,100%  WIN,1,5,DIS,,,,,,,
3.75,5.75,65,LOSE,65%  LOSE,100%  LOSE,0,3.73,EQUAL,,,,,,,
4.25,8.5,50,WIN,50%  WIN,100%  WIN,1,2.625,equal,,,,,,,
4.5,7,50,LOSE,50%  LOSE,100%  LOSE,0,-3.5,ad,,,,,,,
3.5,5,65,WIN,65%  WIN,100%  WIN,1,4.55,DIS,,,,,,,
3.75,6.5,35,LOSE,35%  LOSE,100%  LOSE,0,-2.275,ad,,,,,,,
4.25,8.5,50,LOSE,50%  LOSE,100%  LOSE,0,-3.5,equal,,,,,,,
6.25,9.5,35,WIN,35%  WIN,100%  WIN,1,3.325,dis,,,,,,,
2.5,5,65,LOSE,65%  LOSE,100%  LOSE,0,-3.25,dis,,,,,,,
3.5,7,65,WIN,65%  WIN,100%  WIN,1,4.55,ad,,,,,,,
3.75,10.75,35,LOSE,35%  LOSE,100%  LOSE,0,3.76,equal,,,,,,,
2,6.25,35,WIN,35%  WIN,100%  WIN,1,2.18,AD,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
